,Title,Awards,Year,is_winner,Channel
90,jesus christ superstar live in concert,"Lead Actor, TV Movie/Limited Series",2018,False,NBC
91,u.s.s. callister (black mirror),"Lead Actor, TV Movie/Limited Series",2018,False,
92,the sinner,"Lead Actress, TV Movie/Limited Series",2018,False,USA
93,the tale,"Lead Actress, TV Movie/Limited Series",2018,False,HBO
94,godless,"Lead Actress, TV Movie/Limited Series",2018,False,Netflix
95,law & order true crime: the menendez murders,"Lead Actress, TV Movie/Limited Series",2018,False,NBC
96,seven seconds,"Lead Actress, TV Movie/Limited Series",2018,True,Netflix
97,american horror story: cult,"Lead Actress, TV Movie/Limited Series",2018,False,
98,godless,Directing for a TV Movie/Limited Series,2018,False,Netflix
99,jesus christ superstar live in concert,Directing for a TV Movie/Limited Series,2018,False,NBC
100,paterno,Directing for a TV Movie/Limited Series,2018,False,HBO
101,twin peaks,Directing for a TV Movie/Limited Series,2018,False,Showtime
102,patrick melrose,Directing for a TV Movie/Limited Series,2018,False,Showtime
103,the assassination of gianni versace: american crime story,Directing for a TV Movie/Limited Series,2018,True,
104,the looming tower,Directing for a TV Movie/Limited Series,2018,False,Hulu
105,american vandal,Writing for a TV Movie/Limited Series,2018,False,Netflix
106,godless,Writing for a TV Movie/Limited Series,2018,False,Netflix
107,patrick melrose,Writing for a TV Movie/Limited Series,2018,False,Showtime
108,the assassination of gianni versace: american crime story,Writing for a TV Movie/Limited Series,2018,False,
109,twin peaks,Writing for a TV Movie/Limited Series,2018,False,Showtime
110,u.s.s. callister (black mirror),Writing for a TV Movie/Limited Series,2018,True,
111,godless,"Supporting Actor, TV Movie/Limited Series",2018,True,Netflix
112,jesus christ superstar live in concert,"Supporting Actor, TV Movie/Limited Series",2018,False,NBC
113,aco,"Supporting Actor, TV Movie/Limited Series",2018,False,
114,the assassination of gianni versace: american crime story,"Supporting Actor, TV Movie/Limited Series",2018,False,
115,the assassination of gianni versace: american crime story,"Supporting Actor, TV Movie/Limited Series",2018,False,
116,the looming tower,"Supporting Actor, TV Movie/Limited Series",2018,False,Hulu
117,the assassination of gianni versace: american crime story,"Supporting Actor, TV Movie/Limited Series",2018,False,
118,jesus christ superstar live in concert,"Supporting Actress, TV Movie/Limited Series",2018,False,NBC
119,the assassination of gianni versace: american crime story,"Supporting Actress, TV Movie/Limited Series",2018,False,
120,the assassination of gianni versace: american crime story,"Supporting Actress, TV Movie/Limited Series",2018,False,
121,american horror story: cult,"Supporting Actress, TV Movie/Limited Series",2018,False,
122,godless,"Supporting Actress, TV Movie/Limited Series",2018,True,Netflix
123,black museum (black mirror),"Supporting Actress, TV Movie/Limited Series",2018,False,
124,black-ish,"Lead Actor, Comedy",2018,False,ABC
125,the good place,"Lead Actor, Comedy",2018,False,NBC
126,curb your enthusiasm,"Lead Actor, Comedy",2018,False,HBO
