index,title,awards,year,is_winner,channel
398,the handmaid’s tale,"Supporting Actor, Drama",2018,FALSE,
399,stranger things,"Supporting Actor, Drama",2018,FALSE,Netflix
400,homeland,"Supporting Actor, Drama",2018,FALSE,Showtime
401,the crown,"Supporting Actor, Drama",2018,FALSE,Netflix
402,dave chappelle: equanimity,Directing for a Variety Special,2018,FALSE,Netflix
403,jerry seinfeld: jerry before seinfeld,Directing for a Variety Special,2018,FALSE,Netflix
404,steve martin & martin short: an evening you will forget for the rest of your life,Directing for a Variety Special,2018,FALSE,
405,super bowl lii halftime show starring justin timberlake,Directing for a Variety Special,2018,FALSE,
406,the oscars,Directing for a Variety Special,2018,TRUE,ABC
407,full frontal with samantha bee presents: the great american,Writing for a Variety Special,2018,FALSE,
408,john mulaney: kid gorgeous at radio city,Writing for a Variety Special,2018,TRUE,
409,michelle wolf: nice lady,Writing for a Variety Special,2018,FALSE,HBO
410,patton oswalt: annihilation,Writing for a Variety Special,2018,FALSE,Netflix
411,steve martin & martin short: an evening you will forget for the rest of your life,Writing for a Variety Special,2018,FALSE,
412,genius: picasso,"Lead Actor, TV Movie/Limited Series",2018,FALSE,
413,the assassination of gianni versace: american crime story,"Lead Actor, TV Movie/Limited Series",2018,TRUE,
414,patrick melrose,"Lead Actor, TV Movie/Limited Series",2018,FALSE,Showtime
415,the looming tower,"Lead Actor, TV Movie/Limited Series",2018,FALSE,Hulu
416,jesus christ superstar live in concert,"Lead Actor, TV Movie/Limited Series",2018,FALSE,NBC
417,u.s.s. callister (black mirror),"Lead Actor, TV Movie/Limited Series",2018,FALSE,
418,the sinner,"Lead Actress, TV Movie/Limited Series",2018,FALSE,USA
419,the tale,"Lead Actress, TV Movie/Limited Series",2018,FALSE,HBO
420,godless,"Lead Actress, TV Movie/Limited Series",2018,FALSE,Netflix
421,law & order true crime: the menendez murders,"Lead Actress, TV Movie/Limited Series",2018,FALSE,NBC
422,seven seconds,"Lead Actress, TV Movie/Limited Series",2018,TRUE,Netflix
